datetime,open,high,low,close,slow,fast,Volume,Volume MA
2023-07-03T18:53:00-04:00,15339,15339.5,15336.25,15339,15340.1315,15338.9037,102,21.95
2023-07-03T18:54:00-04:00,15338.75,15339.75,15338.75,15339.75,15339.66493,15338.65278,23,18.65
2023-07-03T18:55:00-04:00,15339.5,15340,15339.25,15339.25,15339.29385,15338.74444,9,16.5
2023-07-03T18:56:00-04:00,15339.75,15339.75,15339.75,15339.75,15339.10991,15339.13333,1,14.5
2023-07-03T18:57:00-04:00,15339.75,15340,15339.75,15340,15339.08611,15339.56667,23,13.85
2023-07-03T18:58:00-04:00,15339.75,15340.5,15339.75,15340.25,15339.21033,15339.98611,8,13.75
2023-07-03T18:59:00-04:00,15340,15341.25,15340,15341.25,15339.57794,15340.59815,10,13.85
2023-07-03T19:00:00-04:00,15340.75,15340.75,15339.75,15340.25,15339.94079,15340.86296,32,14.95
2023-07-03T19:01:00-04:00,15339.75,15341.5,15339.75,15341,15340.32902,15341.05556,18,15.25
2023-07-03T19:02:00-04:00,15341,15341.25,15341,15341.25,15340.70478,15341.20463,3,15.05
2023-07-03T19:03:00-04:00,15341.5,15341.5,15340.75,15340.75,15340.96076,15341.18981,9,15.25
2023-07-03T19:04:00-04:00,15340.75,15341.5,15340.25,15340.25,15341.04982,15340.93704,16,15.75
2023-07-03T19:05:00-04:00,15340.25,15340.5,15339.75,15340.25,15340.99759,15340.56111,14,16.4
2023-07-03T19:06:00-04:00,15341,15341.5,15340.75,15341.25,15340.98266,15340.54352,15,16.6
2023-07-03T19:07:00-04:00,15341,15341.75,15341,15341.75,15341.0723,15340.94722,15,17.3
2023-07-03T19:08:00-04:00,15341.5,15341.5,15340.75,15340.75,15341.1165,15341.2037,17,18.1
2023-07-03T19:09:00-04:00,15341.5,15341.5,15341.25,15341.5,15341.2046,15341.4287,6,18.35
2023-07-03T19:10:00-04:00,15341.25,15341.25,15339.25,15339.75,15341.07314,15341.00278,31,19.55
2023-07-03T19:11:00-04:00,15339.75,15340.25,15339.5,15340.25,15340.87859,15340.49537,5,19.35
2023-07-03T19:12:00-04:00,15340.25,15341.75,15340.25,15341.5,15340.84265,15340.48056,9,18.3
2023-07-03T19:13:00-04:00,15341.25,15342,15341,15342,15340.97373,15340.98704,8,13.6
2023-07-03T19:14:00-04:00,15341.75,15341.75,15341.25,15341.25,15341.11922,15341.46481,4,12.65
2023-07-03T19:15:00-04:00,15341,15342,15340.5,15342,15341.33313,15341.88611,37,14.05
2023-07-03T19:16:00-04:00,15342,15342,15341.5,15341.5,15341.49922,15341.96296,5,14.25
2023-07-03T19:17:00-04:00,15342,15342,15341.75,15342,15341.68388,15342.00463,5,13.35
2023-07-03T19:18:00-04:00,15342,15342.25,15342,15342,15341.89054,15342.05278,5,13.2
2023-07-03T19:19:00-04:00,15342,15342.25,15341.75,15341.75,15342.01961,15342.01481,4,12.9
2023-07-03T19:20:00-04:00,15342,15342,15342,15342,15342.09961,15342.00741,2,11.4
2023-07-03T19:21:00-04:00,15342.5,15343.75,15342.5,15343.75,15342.36185,15342.52778,21,11.55
2023-07-03T19:22:00-04:00,15343.75,15345.5,15343.75,15343.75,15342.74361,15343.26852,37,13.25
2023-07-03T19:23:00-04:00,15344,15344.25,15343.5,15344,15343.20037,15343.99352,24,14
2023-07-03T19:24:00-04:00,15344.25,15345,15343.5,15344.75,15343.7471,15344.64537,35,14.95
2023-07-03T19:25:00-04:00,15345.25,15345.25,15343.5,15343.5,15344.10022,15344.6713,18,15.15
2023-07-03T19:26:00-04:00,15343.5,15344.25,15343.5,15344,15344.34959,15344.49167,4,14.6
2023-07-03T19:27:00-04:00,15343.75,15343.75,15343.5,15343.5,15344.43321,15344.08426,3,14
2023-07-03T19:28:00-04:00,15343.5,15343.75,15343.5,15343.75,15344.41019,15343.78241,3,13.3
2023-07-03T19:29:00-04:00,15344,15344,15343.5,15343.5,15344.28556,15343.5713,12,13.6
2023-07-03T19:30:00-04:00,15343.25,15343.5,15340.75,15341.25,15343.80541,15342.78056,49,14.5
2023-07-03T19:31:00-04:00,15340.5,15340.75,15340,15340.25,15343.00535,15341.51389,17,15.1
2023-07-03T19:32:00-04:00,15340.5,15340.75,15338.5,15339.5,15341.97075,15340.0537,47,17
2023-07-03T19:33:00-04:00,15339.25,15339.25,15338.5,15338.5,15340.79271,15338.69167,20,17.6
2023-07-03T19:34:00-04:00,15338.25,15339.25,15338.25,15339.25,15339.76985,15338.05556,12,18
2023-07-03T19:35:00-04:00,15338.75,15339.5,15337.75,15337.75,15338.7826,15337.58426,24,17.35
2023-07-03T19:36:00-04:00,15337.75,15338.25,15337.75,15338.25,15337.9972,15337.46389,7,17.45
