time,open,high,low,close,Plot,Plot,Volume,Volume MA
2023-07-02T21:34:00-04:00,15341.25,15342.25,15341,15342,15340.51184640523,15341.996296296295,30,60.7
2023-07-02T21:35:00-04:00,15342,15343.25,15341.75,15343,15341.525020424835,15342.887962962961,68,57.75
2023-07-02T21:36:00-04:00,15343,15345,15343,15344,15342.618872549021,15343.852777777778,97,58.15
2023-07-02T21:37:00-04:00,15344.25,15345,15343.25,15343.75,15343.586090686274,15344.491666666669,39,52.25
2023-07-02T21:38:00-04:00,15343,15343.75,15342.5,15343.5,15344.282945261435,15344.64351851852,57,51.85
2023-07-02T21:39:00-04:00,15343.5,15344.75,15342.25,15343,15344.611151960784,15344.258333333333,89,53.45
2023-07-02T21:40:00-04:00,15343.75,15346.75,15343.75,15345.75,15345.023263888888,15344.516666666668,133,57.95
2023-07-02T21:41:00-04:00,15345.5,15348.75,15345.5,15347,15345.625837418303,15345.544444444444,104,60.85
2023-07-02T21:42:00-04:00,15347,15348,15346.25,15346.25,15346.199509803924,15346.564814814812,38,61.85
2023-07-02T21:43:00-04:00,15346,15346.5,15344.75,15345.5,15346.57201797386,15346.913888888887,64,64.6
2023-07-02T21:44:00-04:00,15345,15345.75,15343.5,15345.5,15346.705290032678,15346.599999999999,82,67.1
2023-07-02T21:45:00-04:00,15345.25,15346.25,15345,15346.25,15346.773692810457,15346.275925925926,45,67.5
2023-07-02T21:46:00-04:00,15346.5,15347,15344,15344.75,15346.630187908499,15345.716666666667,113,71.2
2023-07-02T21:47:00-04:00,15344.5,15345.75,15344,15344.25,15346.284313725491,15345.027777777776,43,71.3
2023-07-02T21:48:00-04:00,15343.75,15345,15343.5,15343.75,15345.712132352939,15344.212962962964,60,73.45
2023-07-02T21:49:00-04:00,15344,15344.25,15343,15343.5,15345.008415032678,15343.499074074076,20,73.85
2023-07-02T21:50:00-04:00,15344,15344,15343,15343.25,15344.314685457513,15343.026851851851,21,71.2
2023-07-02T21:51:00-04:00,15343.75,15344.25,15342.5,15344,15343.819362745096,15343.04074074074,38,67
2023-07-02T21:52:00-04:00,15343.5,15344,15341.5,15343.5,15343.45316584967,15343.185185185184,88,64.5
2023-07-02T21:53:00-04:00,15344,15344.5,15343.25,15343.25,15343.172753267974,15343.26851851852,49,63.9
2023-07-02T21:54:00-04:00,15343.5,15343.75,15342.75,15343.25,15342.992810457517,15343.253703703705,23,63.55
2023-07-02T21:55:00-04:00,15343,15344.25,15343,15343.75,15342.957598039216,15343.331481481482,20,61.15
2023-07-02T21:56:00-04:00,15344,15346.25,15344,15345.75,15343.305780228757,15344.100925925924,49,58.75
2023-07-02T21:57:00-04:00,15346,15346.25,15345,15345.25,15343.815502450982,15344.960185185184,29,58.25
2023-07-02T21:58:00-04:00,15345.25,15346.75,15344.25,15345.25,15344.360702614382,15345.601851851852,68,58.8
2023-07-02T21:59:00-04:00,15345.5,15346.5,15345,15346.5,15345.002675653592,15346.196296296295,41,56.4
2023-07-02T22:00:00-04:00,15346.25,15347,15345.75,15346.5,15345.629575163399,15346.62037037037,32,51.35
2023-07-02T22:01:00-04:00,15346.75,15346.75,15344,15344.5,15345.938848039217,15346.302777777777,28,47.55
2023-07-02T22:02:00-04:00,15344.5,15345,15343,15344.25,15345.94133986928,15345.485185185185,71,49.2
2023-07-02T22:03:00-04:00,15344.25,15345,15343.5,15344.25,15345.6952001634,15344.570370370371,58,48.9
2023-07-02T22:04:00-04:00,15344.5,15345.75,15344.5,15345.25,15345.436805555557,15344.269444444444,32,46.4
2023-07-02T22:05:00-04:00,15345,15345.25,15343.5,15344,15345.091993464051,15344.12962962963,38,46.05
